target,horizon,fold,family,zone_id,n,mae,mase,sat_wmae,bias
occupancy,1,0,last_observation,783,336,0.258929,0.225733,0.263706,0.00297619
occupancy,1,0,last_observation,790,336,0.598214,0.24635,0.684014,-0.00297619
occupancy,1,0,last_observation,792,336,0.354167,0.314643,0.380753,-0.00297619
occupancy,1,0,last_observation,795,336,1.81845,0.226837,1.75733,-0.0208333
occupancy,1,0,last_observation,799,336,2.39286,0.419232,2.51049,-0.00595238
occupancy,1,0,last_observation,802,336,1.66667,0.395867,1.8538,-0.0238095
occupancy,1,0,last_observation,804,336,0.934524,0.580564,0.913475,0
occupancy,1,0,last_observation,805,336,0.845238,0.434466,1.11591,0
occupancy,1,0,last_observation,809,336,2.76786,0.427032,2.54142,0
occupancy,1,0,last_observation,832,336,1.5506,0.423314,1.50324,0.00297619
occupancy,1,0,last_observation,842,336,3.17262,0.56898,3.08679,0.00595238
occupancy,1,0,last_observation,844,336,7.08333,1.03603,8.05955,0
occupancy,1,0,last_observation,848,336,0.610119,0.401336,0.778634,-0.00297619
occupancy,1,0,last_observation,849,336,2.125,0.513246,2.24104,-0.0297619
occupancy,1,0,last_observation,851,336,6.1756,0.50871,6.13997,-0.0386905
occupancy,1,0,last_observation,852,336,0.404762,0.322702,0.399763,0
occupancy,1,0,last_observation,855,336,3.24702,0.370777,3.16994,0.0446429
occupancy,1,0,last_observation,858,336,3.72917,0.34682,3.80026,0.0327381
occupancy,1,0,last_observation,862,336,0.565476,0.29325,0.54807,-0.0119048
occupancy,1,0,last_observation,881,336,13.131,0.963696,14.6305,0.0357143
occupancy,1,0,last_observation,882,336,1.21726,0.6355,1.26652,0.00297619
occupancy,1,0,last_observation,883,336,0.261905,0.165414,0.309866,0
occupancy,1,0,last_observation,887,336,1.1131,0.29509,1.19196,-0.00595238
occupancy,1,0,last_observation,888,336,4.22917,0.466793,4.37331,-0.014881
occupancy,1,0,last_observation,890,336,0.178571,0.164093,0.265072,-0.00595238
occupancy,1,0,last_observation,891,336,3.47321,0.883599,3.54142,-0.014881
occupancy,1,0,last_observation,893,336,0.479167,0.482121,0.488216,0.00297619
occupancy,1,0,last_observation,895,336,3.1131,0.637942,3.76463,0
occupancy,1,0,last_observation,897,336,2.90774,0.713813,3.24628,0.00297619
occupancy,1,0,last_observation,900,336,0.541667,0.36544,0.52467,0.0119048
occupancy,1,0,last_observation,901,336,0.235119,0.199851,0.25639,0.00297619
occupancy,1,0,last_observation,902,336,0.752976,0.315496,0.749555,0.014881
occupancy,1,0,last_observation,903,336,1.46429,0.389014,1.60396,0.0178571
occupancy,1,0,last_observation,904,336,1.14583,0.298961,1.12349,-0.00297619
occupancy,1,0,last_observation,937,336,0.25,0.216791,0.270314,0
occupancy,1,0,last_observation,943,336,1.18452,0.397031,1.14555,0
occupancy,1,0,last_observation,958,336,1.26786,0.475337,1.36405,0.00595238
occupancy,1,0,last_observation,965,336,2.18155,0.216905,2.07808,-0.00892857
occupancy,1,0,last_observation,966,336,4.65774,0.472256,5.07501,-0.014881
occupancy,1,0,last_observation,967,336,0.824405,0.392597,0.801218,0.00892857
occupancy,1,0,last_observation,969,336,1.08036,0.326811,1.03424,-0.00297619
occupancy,1,0,last_observation,972,336,2.08929,0.377139,2.11638,0
occupancy,1,0,last_observation,974,336,3.54762,0.454701,3.58928,0.0238095
occupancy,1,0,last_observation,975,336,0.619048,0.299167,0.656214,-0.00595238
occupancy,1,0,last_observation,977,336,0.520833,0.333333,0.515221,-0.00892857
occupancy,1,0,last_observation,979,336,0.383929,0.265834,0.399772,0.00892857
occupancy,1,0,last_observation,981,336,1.61905,0.423715,1.60007,0.0238095
occupancy,1,0,last_observation,982,336,0.830357,0.368345,0.844641,0.00892857
occupancy,1,0,last_observation,983,336,0.714286,0.341151,0.720424,0
occupancy,1,0,last_observation,984,336,0.372024,0.225704,0.381622,0.00297619
occupancy,1,0,last_observation,986,336,4.36905,0.555275,4.44582,0.00595238
occupancy,1,0,last_observation,987,336,0.717262,0.213647,0.814346,-0.0625
occupancy,1,0,last_observation,988,336,1.05952,0.363036,1.05281,0.0119048
occupancy,1,0,last_observation,989,336,2.69643,0.478531,2.68841,-0.0119048
occupancy,1,0,last_observation,991,336,0.407738,0.25101,0.426175,-0.00892857
occupancy,1,0,last_observation,996,336,4.28869,0.450279,4.31076,0.00892857
occupancy,1,0,last_observation,998,336,1.90476,0.353247,1.86121,0.0297619
occupancy,1,0,last_observation,1000,336,3.27679,0.412282,3.22651,-0.0327381
occupancy,1,0,last_observation,1009,336,3.55357,0.423409,3.46967,0
occupancy,1,0,last_observation,1011,336,3.74702,0.35193,3.66665,0.00892857
occupancy,1,0,last_observation,1015,336,1.40476,0.315955,1.38127,0
occupancy,1,0,last_observation,1026,336,7.45238,1.13159,7.97887,-0.0119048
occupancy,1,0,last_observation,1029,336,2.00893,0.786794,1.98499,-0.00892857
occupancy,1,0,last_observation,1031,336,2.59524,0.33832,2.55231,0.0238095
occupancy,1,0,last_observation,1043,336,1.25,0.303797,1.24902,0.0238095
occupancy,1,0,last_observation,1049,336,6.88393,0.491623,6.9209,0.0446429
occupancy,1,0,last_observation,1060,336,0.363095,0.293643,0.369753,0.00595238
occupancy,1,0,last_observation,1061,336,0.940476,0.235842,0.926901,0.00595238
occupancy,1,0,last_observation,1062,336,1.5744,0.416777,1.67213,-0.00892857
occupancy,1,0,last_observation,1066,336,0.666667,0.29923,0.646773,-0.0119048
occupancy,1,0,last_observation,1067,336,1.26786,0.349164,1.23185,-0.0119048
occupancy,1,0,last_observation,1068,336,2.21429,0.379194,2.19384,-0.0119048
occupancy,1,0,last_observation,1071,336,1.76488,0.412294,1.72782,0.014881
occupancy,1,0,last_observation,1072,336,1.66071,0.431643,1.82082,0.0178571
occupancy,1,0,last_observation,1074,336,1.13095,0.391539,1.12989,-0.00595238
occupancy,1,0,last_observation,1075,336,0.544643,0.289247,0.569209,-0.00297619
occupancy,1,0,last_observation,1076,336,0.821429,0.349289,0.815961,0.00595238
occupancy,1,0,last_observation,1081,336,0.85119,0.362322,0.85703,0.0178571
occupancy,1,0,last_observation,1082,336,0.514881,0.345654,0.554111,0.00297619
occupancy,1,0,last_observation,1083,336,1.27083,0.337345,1.33199,-0.00297619
occupancy,1,0,last_observation,1085,336,1.13393,0.355948,1.11291,0.00892857
occupancy,1,0,last_observation,1087,336,1.12202,0.355286,1.10943,0.0208333
occupancy,1,0,last_observation,1088,336,1.15774,0.359617,1.22344,0.00892857
occupancy,1,0,last_observation,1090,336,0.630952,0.3671,0.635507,0
occupancy,1,0,last_observation,1092,336,0.229167,0.167713,0.224679,0.00892857
occupancy,1,0,last_observation,1094,336,0.583333,0.345428,0.615306,-0.0178571
occupancy,1,0,last_observation,1095,336,0.8125,0.355305,0.778309,0.014881
occupancy,1,0,last_observation,1096,336,0.845238,0.327655,0.842174,-0.00595238
occupancy,1,0,last_observation,1098,336,4.0744,1.03332,4.25892,0.00297619
occupancy,1,0,last_observation,1099,336,0.526786,0.283547,0.560416,-0.00297619
occupancy,1,0,last_observation,1100,336,1.25,0.341365,1.24073,-0.0178571
occupancy,1,0,last_observation,1102,336,0.967262,0.277186,0.950634,0.00297619
occupancy,1,0,last_observation,1104,336,0.27381,0.196248,0.275211,0.00595238
occupancy,1,0,last_observation,1106,336,0.238095,0.209472,0.241885,0
occupancy,1,0,last_observation,1107,336,0.208333,0.183585,0.206722,-0.00595238
occupancy,1,0,last_observation,1109,336,0.464286,0.274137,0.460296,0.00595238
occupancy,1,0,last_observation,1110,336,0.511905,0.248123,0.693398,-0.00595238
occupancy,1,0,last_observation,1111,336,0.943452,0.262974,0.921123,0.00892857
occupancy,1,0,last_observation,1112,336,0.4375,0.241788,0.447171,0.00892857
occupancy,1,0,last_observation,1113,336,0.428571,0.254708,0.4235,-0.0119048
occupancy,1,0,last_observation,1114,336,0.33631,0.245464,0.341768,0.00297619
occupancy,1,0,last_observation,1115,336,0.919643,0.307427,0.910273,0.00297619
occupancy,1,0,last_observation,1119,336,1.63095,0.415698,1.70248,0
occupancy,1,0,last_observation,1120,336,1.04167,0.339457,1.05578,-0.0119048
occupancy,1,0,last_observation,1121,336,0.910714,0.337103,0.883373,0
occupancy,1,0,last_observation,1124,336,3.625,0.909874,3.83005,-0.0178571
occupancy,1,0,last_observation,1125,336,0.157738,0.212225,0.192155,0.00297619
occupancy,1,0,last_observation,1126,336,0.705357,0.35551,0.710676,-0.00892857
occupancy,1,0,last_observation,1130,336,0.0565476,0.120793,0.0596841,0.00297619
occupancy,1,0,last_observation,1134,336,0.52381,0.268233,0.526865,0.0119048
