target,horizon,fold,family,hour_of_day,n,mae,mase
occupancy,1,0,global_gbm,12,3850,2.03842,0.494785
occupancy,1,0,global_gbm,13,3850,1.82056,0.452238
occupancy,1,0,global_gbm,14,3850,1.68759,0.430156
occupancy,1,0,global_gbm,15,3850,1.67172,0.414766
occupancy,1,0,global_gbm,16,3850,1.92261,0.472873
occupancy,1,0,global_gbm,17,3850,1.56814,0.415797
occupancy,1,0,global_gbm,18,3850,1.80052,0.481636
occupancy,1,0,global_gbm,19,3850,2.15901,0.575179
occupancy,1,0,global_gbm,20,3850,1.93542,0.51921
occupancy,1,0,global_gbm,21,3850,1.81209,0.474197
occupancy,1,0,global_gbm,22,3850,1.63601,0.437882
occupancy,1,0,global_gbm,23,3850,1.58254,0.40532
occupancy,1,1,last_observation,0,3850,1.51403,0.344872
occupancy,1,1,last_observation,1,3850,1.99091,0.410191
occupancy,1,1,last_observation,2,3850,0.942727,0.206603
occupancy,1,1,last_observation,3,3850,0.80987,0.166633
occupancy,1,1,last_observation,4,3850,0.599091,0.124532
occupancy,1,1,last_observation,5,3850,0.528961,0.10824
occupancy,1,1,last_observation,6,3850,0.72987,0.146064
occupancy,1,1,last_observation,7,3850,1.56234,0.309474
occupancy,1,1,last_observation,8,3850,3.93403,0.808598
occupancy,1,1,last_observation,9,3850,3.62506,0.853963
occupancy,1,1,last_observation,10,3850,2.19481,0.554121
occupancy,1,1,last_observation,11,3850,1.59208,0.422664
occupancy,1,1,last_observation,12,3850,1.44506,0.371248
occupancy,1,1,last_observation,13,3850,1.78818,0.42772
occupancy,1,1,last_observation,14,3850,1.63701,0.382527
occupancy,1,1,last_observation,15,3850,1.35494,0.34719
occupancy,1,1,last_observation,16,3850,1.33429,0.336358
occupancy,1,1,last_observation,17,3850,1.35753,0.350589
occupancy,1,1,last_observation,18,3850,1.69831,0.454505
occupancy,1,1,last_observation,19,3850,2.81052,0.654834
occupancy,1,1,last_observation,20,3850,2.74013,0.608798
occupancy,1,1,last_observation,21,3850,2.01649,0.465691
occupancy,1,1,last_observation,22,3850,1.80364,0.420929
occupancy,1,1,last_observation,23,3850,1.40805,0.340353
occupancy,1,1,seasonal_naive_daily,0,3850,3.33714,0.934968
occupancy,1,1,seasonal_naive_daily,1,3850,3.12338,0.896842
occupancy,1,1,seasonal_naive_daily,2,3850,3.12675,0.890942
